epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,10627.7,0.77968,1.46261,0.77702,1.13903,0.83719,0.72063,0.79828,0.57529,0.84184,0.7049,0.78173,0.50283,0.97395,1.61085,0.90844,1.13677,0.0084556,0.0084556,0.0084556
80,10769.9,0.77554,1.46193,0.78129,1.13905,0.85662,0.71323,0.80205,0.58965,0.84748,0.70398,0.78146,0.50494,0.93894,1.61428,0.86431,1.11299,0.0084358,0.0084358,0.0084358
81,10912.3,0.75855,1.48907,0.78641,1.13262,0.87065,0.70982,0.80308,0.58191,0.86406,0.70722,0.78273,0.4943,0.97543,1.64143,0.87528,1.14661,0.008416,0.008416,0.008416
82,11054.5,0.76878,1.43691,0.78277,1.13142,0.87725,0.70411,0.79919,0.58966,0.86636,0.69266,0.7758,0.50223,0.94359,1.61518,0.88333,1.11439,0.0083962,0.0083962,0.0083962
83,11196.8,0.77903,1.45643,0.78871,1.13767,0.85732,0.73096,0.80353,0.58684,0.84817,0.72866,0.78653,0.51358,0.94316,1.5964,0.85325,1.11708,0.0083764,0.0083764,0.0083764
84,11339.1,0.7728,1.45649,0.77703,1.12939,0.85761,0.71045,0.79274,0.58515,0.85761,0.71045,0.77769,0.50818,0.94378,1.62872,0.88888,1.11573,0.0083566,0.0083566,0.0083566
85,11481.3,0.76761,1.44223,0.75983,1.13096,0.85495,0.73065,0.80749,0.59527,0.84787,0.7244,0.78867,0.51192,0.93417,1.61762,0.87547,1.11784,0.0083368,0.0083368,0.0083368
86,11623.9,0.76908,1.46107,0.77767,1.13819,0.85089,0.72017,0.80573,0.59718,0.84527,0.70768,0.7833,0.51357,0.92802,1.63019,0.86022,1.10892,0.008317,0.008317,0.008317
87,11766.9,0.76989,1.43902,0.76217,1.12499,0.84418,0.70664,0.79668,0.58507,0.84205,0.69781,0.77841,0.51115,0.94798,1.61564,0.87096,1.12178,0.0082972,0.0082972,0.0082972
88,11909.4,0.7631,1.40525,0.76678,1.12862,0.83768,0.71508,0.79623,0.58721,0.83049,0.70675,0.77427,0.5107,0.94054,1.59492,0.87314,1.12354,0.0082774,0.0082774,0.0082774
89,12052.1,0.75022,1.41526,0.74634,1.11701,0.85245,0.72952,0.8195,0.60751,0.83737,0.73774,0.80458,0.52236,0.92904,1.56966,0.81536,1.0969,0.0082576,0.0082576,0.0082576
90,12194.3,0.75061,1.41571,0.74655,1.11904,0.85798,0.7265,0.81206,0.60818,0.84377,0.72618,0.79538,0.5263,0.92261,1.58126,0.82494,1.09626,0.0082378,0.0082378,0.0082378
91,12336.1,0.75451,1.39541,0.7595,1.11798,0.85357,0.71415,0.80393,0.5923,0.84625,0.70583,0.78953,0.51723,0.92541,1.57155,0.88277,1.09939,0.008218,0.008218,0.008218
92,12478.3,0.73585,1.39351,0.73546,1.10823,0.85061,0.7058,0.80123,0.59299,0.84275,0.69905,0.78147,0.5055,0.92854,1.57878,0.88613,1.11724,0.0081982,0.0081982,0.0081982
93,12620.8,0.75115,1.39855,0.75788,1.12268,0.87747,0.73173,0.82852,0.60974,0.86963,0.72814,0.80842,0.52753,0.91833,1.55393,0.80195,1.09301,0.0081784,0.0081784,0.0081784
94,12763.2,0.74535,1.42402,0.73134,1.11822,0.87611,0.71961,0.8232,0.60735,0.8437,0.73636,0.80832,0.5284,0.92512,1.53604,0.82553,1.09107,0.0081586,0.0081586,0.0081586
95,12905.5,0.7506,1.43074,0.75085,1.12991,0.86367,0.7308,0.81489,0.59933,0.84735,0.72895,0.79898,0.51926,0.92143,1.54932,0.84729,1.09665,0.0081388,0.0081388,0.0081388
96,13047.7,0.75353,1.38623,0.74879,1.12406,0.86302,0.75069,0.82732,0.60625,0.84952,0.73895,0.80227,0.52227,0.91112,1.51938,0.82726,1.07803,0.008119,0.008119,0.008119
97,13190.2,0.75104,1.41854,0.7542,1.11669,0.87564,0.74909,0.82906,0.61188,0.87114,0.74329,0.80887,0.52634,0.91371,1.53861,0.80934,1.08361,0.0080992,0.0080992,0.0080992
98,13332.3,0.73526,1.36625,0.73692,1.11144,0.84477,0.76457,0.83438,0.62202,0.84212,0.75301,0.81311,0.53246,0.89876,1.53363,0.79927,1.07141,0.0080794,0.0080794,0.0080794
99,13474.6,0.74079,1.37843,0.73571,1.11388,0.86369,0.72682,0.81796,0.60552,0.84304,0.7279,0.79461,0.52033,0.91404,1.53271,0.83948,1.08079,0.0080596,0.0080596,0.0080596
100,13616.5,0.7508,1.39508,0.73413,1.11379,0.87314,0.75208,0.83977,0.61743,0.87061,0.73867,0.81907,0.53753,0.90928,1.51227,0.80197,1.08005,0.0080398,0.0080398,0.0080398
101,13758.5,0.7373,1.35055,0.7454,1.11589,0.87919,0.754,0.84037,0.62598,0.87291,0.74658,0.81924,0.54847,0.88963,1.49292,0.79062,1.06664,0.00802,0.00802,0.00802
102,13900.4,0.74535,1.40334,0.73326,1.11544,0.88321,0.73913,0.82863,0.61317,0.86551,0.73497,0.8046,0.53144,0.91095,1.52325,0.82388,1.08173,0.0080002,0.0080002,0.0080002
103,14043.3,0.75491,1.36291,0.74259,1.11945,0.87451,0.74884,0.83112,0.61934,0.87136,0.73626,0.80793,0.53688,0.91043,1.52015,0.79532,1.07646,0.0079804,0.0079804,0.0079804
104,14185.3,0.74076,1.35679,0.72709,1.10798,0.89502,0.74561,0.82701,0.6108,0.88826,0.73959,0.80882,0.52967,0.91258,1.49685,0.82013,1.08152,0.0079606,0.0079606,0.0079606
105,14328.1,0.74762,1.42914,0.74281,1.12437,0.88472,0.73821,0.83014,0.61559,0.88042,0.73034,0.80984,0.53244,0.9078,1.51942,0.80946,1.08092,0.0079408,0.0079408,0.0079408
106,14470.6,0.72549,1.33172,0.70459,1.09976,0.89916,0.75162,0.84007,0.62778,0.89621,0.73867,0.82544,0.5405,0.89477,1.50696,0.78796,1.07319,0.007921,0.007921,0.007921
107,14612.6,0.75128,1.38111,0.72587,1.11653,0.86865,0.75245,0.83849,0.62397,0.8617,0.74643,0.81916,0.53162,0.89604,1.51818,0.79153,1.06473,0.0079012,0.0079012,0.0079012
108,14754.9,0.74888,1.37976,0.74275,1.11823,0.88876,0.74646,0.84161,0.62239,0.88579,0.74422,0.8288,0.53826,0.8958,1.51451,0.79566,1.0741,0.0078814,0.0078814,0.0078814
109,14896.8,0.72503,1.34347,0.71578,1.09977,0.8829,0.73231,0.82915,0.61861,0.87055,0.73034,0.81118,0.53678,0.89395,1.49748,0.7995,1.07156,0.0078616,0.0078616,0.0078616
110,15038.8,0.72862,1.32093,0.69767,1.09624,0.87196,0.74468,0.82556,0.62358,0.85717,0.73636,0.80526,0.53434,0.8823,1.52348,0.79379,1.0616,0.0078418,0.0078418,0.0078418
111,15181,0.71869,1.35364,0.7029,1.09953,0.85495,0.75486,0.82755,0.62497,0.84591,0.74931,0.80797,0.54066,0.88417,1.50277,0.78223,1.06197,0.007822,0.007822,0.007822
112,15323.2,0.73527,1.3542,0.70955,1.10363,0.85254,0.76087,0.83096,0.61947,0.8489,0.75359,0.8167,0.53362,0.89258,1.49273,0.78907,1.06478,0.0078022,0.0078022,0.0078022
113,15465.5,0.7407,1.34765,0.72396,1.10486,0.88397,0.73682,0.8286,0.61643,0.87332,0.73867,0.81397,0.54122,0.89069,1.47754,0.78298,1.0614,0.0077824,0.0077824,0.0077824
114,15607.4,0.72942,1.32568,0.71127,1.10476,0.87392,0.74653,0.83481,0.62282,0.87026,0.74464,0.81852,0.54547,0.88619,1.4944,0.77303,1.05067,0.0077626,0.0077626,0.0077626
115,15749.5,0.71018,1.34368,0.71934,1.10334,0.89251,0.74125,0.83751,0.63145,0.88969,0.73774,0.82429,0.54465,0.8811,1.51045,0.76155,1.05151,0.0077428,0.0077428,0.0077428
116,15892.2,0.71586,1.33363,0.69601,1.08771,0.88468,0.74867,0.83718,0.63355,0.87919,0.74514,0.82611,0.54858,0.87157,1.49296,0.76926,1.0506,0.007723,0.007723,0.007723
117,16034.8,0.725,1.33164,0.69143,1.09954,0.86363,0.76272,0.83563,0.63875,0.85695,0.75393,0.82105,0.5491,0.86608,1.49025,0.75944,1.04279,0.0077032,0.0077032,0.0077032
118,16177.6,0.72595,1.331,0.71951,1.10548,0.87038,0.75578,0.83664,0.63652,0.85813,0.74514,0.8138,0.54989,0.86493,1.48311,0.76489,1.04705,0.0076834,0.0076834,0.0076834
